FIRST CLEAR,PRIMERA VICTORIA,Completa tu primer puzle de campaña,es
FIRST CLEAR,ERSTER SIEG,Löse dein erstes Kampagnen-Rätsel,de
FIRST CLEAR,PREMIÈRE VICTOIRE,Terminez votre premier puzzle de campagne,fr
FIRST CLEAR,PIERWSZE UKOŃCZENIE,Ukończ pierwszą zagadkę kampanii,pl
FIRST CLEAR,პირველი გავლა,გაიარეთ პირველი კამპანიის თავსატეხი,ka
FIRST CLEAR,ПЕРШЕ ПРОХОДЖЕННЯ,Пройдіть першу головоломку кампанії,uk
ONE MORE LEVEL BRONZE,UN NIVEL MÁS BRONCE,Completa 10 puzles únicos de campaña,es
ONE MORE LEVEL BRONZE,NOCH EIN LEVEL BRONZE,Löse 10 einzigartige Kampagnen-Rätsel,de
ONE MORE LEVEL BRONZE,ENCORE UN NIVEAU BRONZE,Terminez 10 puzzles uniques de campagne,fr
ONE MORE LEVEL BRONZE,JESZCZE JEDEN POZIOM BRĄZ,Ukończ 10 unikalnych zagadek kampanii,pl
ONE MORE LEVEL BRONZE,კიდევ ერთი დონე ბრინჯაო,გაიარეთ 10 უნიკალური კამპანიის თავსატეხი,ka
ONE MORE LEVEL BRONZE,ЩЕ ОДИН РІВЕНЬ БРОНЗА,Пройдіть 10 унікальних головоломок кампанії,uk
ONE MORE LEVEL SILVER,UN NIVEL MÁS PLATA,Completa 30 puzles únicos de campaña,es
ONE MORE LEVEL SILVER,NOCH EIN LEVEL SILBER,Löse 30 einzigartige Kampagnen-Rätsel,de
ONE MORE LEVEL SILVER,ENCORE UN NIVEAU ARGENT,Terminez 30 puzzles uniques de campagne,fr
ONE MORE LEVEL SILVER,JESZCZE JEDEN POZIOM SREBRO,Ukończ 30 unikalnych zagadek kampanii,pl
ONE MORE LEVEL SILVER,კიდევ ერთი დონე ვერცხლი,გაიარეთ 30 უნიკალური კამპანიის თავსატეხი,ka
ONE MORE LEVEL SILVER,ЩЕ ОДИН РІВЕНЬ СЕРЕБЛО,Пройдіть 30 унікальних головоломок кампанії,uk
ONE MORE LEVEL GOLD,UN NIVEL MÁS ORO,Completa 60 puzles únicos de campaña,es
ONE MORE LEVEL GOLD,NOCH EIN LEVEL GOLD,Löse 60 einzigartige Kampagnen-Rätsel,de
ONE MORE LEVEL GOLD,ENCORE UN NIVEAU OR,Terminez 60 puzzles uniques de campagne,fr
ONE MORE LEVEL GOLD,JESZCZE JEDEN POZIOM ZŁOTO,Ukończ 60 unikalnych zagadek kampanii,pl
ONE MORE LEVEL GOLD,კიდევ ერთი დონე ოქრო,გაიარეთ 60 უნიკალური კამპანიის თავსატეხი,ka
ONE MORE LEVEL GOLD,ЩЕ ОДИН РІВЕНЬ ЗОЛОТО,Пройдіть 60 унікальних головоломок кампанії,uk
HARD START,INICIO DIFÍCIL,Completa un puzle difícil de campaña,es
HARD START,HARTER START,Löse ein schweres Kampagnen-Rätsel,de
HARD START,DÉBUT DIFFICILE,Terminez un puzzle de campagne difficile,fr
HARD START,TRUDNY START,Ukończ trudną zagadkę kampanii,pl
HARD START,რთული დასაწყისი,გაიარეთ რთული კამპანიის თავსატეხი,ka
HARD START,СКЛАДНИЙ СТАРТ,Пройдіть складну головоломку кампанії,uk
NO SPOILERS BRONZE,SIN SPOILERS BRONCE,Completa 10 puzles únicos de campaña sin pistas,es
NO SPOILERS BRONZE,KEINE SPOILER BRONZE,Löse 10 einzigartige Kampagnen-Rätsel ohne Hinweise,de
NO SPOILERS BRONZE,PAS DE SPOILERS BRONZE,Terminez 10 puzzles uniques de campagne sans indices,fr
NO SPOILERS BRONZE,BEZ SPOILERÓW BRĄZ,Ukończ 10 unikalnych zagadek kampanii bez podpowiedzi,pl
NO SPOILERS BRONZE,სპოილერების გარეშე ბრინჯაო,გაიარეთ 10 უნიკალური კამპანიის თავსატეხი მინიშნების გარეშე,ka
NO SPOILERS BRONZE,БЕЗ СПОЙЛЕРІВ БРОНЗА,Пройдіть 10 унікальних головоломок кампанії без підказок,uk
NO SPOILERS SILVER,SIN SPOILERS PLATA,Completa 30 puzles únicos de campaña sin pistas,es
NO SPOILERS SILVER,KEINE SPOILER SILBER,Löse 30 einzigartige Kampagnen-Rätsel ohne Hinweise,de
NO SPOILERS SILVER,PAS DE SPOILERS ARGENT,Terminez 30 puzzles uniques de campagne sans indices,fr
NO SPOILERS SILVER,BEZ SPOILERÓW SREBRO,Ukończ 30 unikalnych zagadek kampanii bez podpowiedzi,pl
NO SPOILERS SILVER,სპოილერების გარეშე ვერცხლი,გაიარეთ 30 უნიკალური კამპანიის თავსატეხი მინიშნების გარეშე,ka
NO SPOILERS SILVER,БЕЗ СПОЙЛЕРІВ СЕРЕБЛО,Пройдіть 30 унікальних головоломок кампанії без підказок,uk
NO SPOILERS GOLD,SIN SPOILERS ORO,Completa 60 puzles únicos de campaña sin pistas,es
NO SPOILERS GOLD,KEINE SPOILER GOLD,Löse 60 einzigartige Kampagnen-Rätsel ohne Hinweise,de
NO SPOILERS GOLD,PAS DE SPOILERS OR,Terminez 60 puzzles uniques de campagne sans indices,fr
NO SPOILERS GOLD,BEZ SPOILERÓW ZŁOTO,Ukończ 60 unikalnych zagadek kampanii bez podpowiedzi,pl
NO SPOILERS GOLD,სპოილერების გარეშე ოქრო,გაიარეთ 60 უნიკალური კამპანიის თავსატეხი მინიშნების გარეშე,ka
NO SPOILERS GOLD,БЕЗ СПОЙЛЕРІВ ЗОЛОТО,Пройдіть 60 унікальних головоломок кампанії без підказок,uk
TICK TOCK BRONZE,TIC TAC BRONCE,Completa 10 puzles únicos de campaña a tiempo,es
TICK TOCK BRONZE,TICK TACK BRONZE,Löse 10 einzigartige Kampagnen-Rätsel rechtzeitig,de
TICK TOCK BRONZE,TIC TAC BRONZE,Terminez 10 puzzles uniques de campagne dans les temps,fr
TICK TOCK BRONZE,TYK-TAK BRĄZ,Ukończ 10 unikalnych zagadek kampanii na czas,pl
TICK TOCK BRONZE,ტიკ-ტაკ ბრინჯაო,გაიარეთ 10 უნიკალური კამპანიის თავსატეხი დროში,ka
TICK TOCK BRONZE,ТІК-ТАК БРОНЗА,Пройдіть 10 унікальних головоломок кампанії вчасно,uk
TICK TOCK SILVER,TIC TAC PLATA,Completa 30 puzles únicos de campaña a tiempo,es
TICK TOCK SILVER,TICK TACK SILBER,Löse 30 einzigartige Kampagnen-Rätsel rechtzeitig,de
TICK TOCK SILVER,TIC TAC ARGENT,Terminez 30 puzzles uniques de campagne dans les temps,fr
TICK TOCK SILVER,TYK-TAK SREBRO,Ukończ 30 unikalnych zagadek kampanii na czas,pl
TICK TOCK SILVER,ტიკ-ტაკ ვერცხლი,გაიარეთ 30 უნიკალური კამპანიის თავსატეხი დროში,ka
TICK TOCK SILVER,ТІК-ТАК СЕРЕБЛО,Пройдіть 30 унікальних головоломок кампанії вчасно,uk
TICK TOCK GOLD,TIC TAC ORO,Completa 60 puzles únicos de campaña a tiempo,es
TICK TOCK GOLD,TICK TACK GOLD,Löse 60 einzigartige Kampagnen-Rätsel rechtzeitig,de
